,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
145,Chrysalis (EZ Vidya),"Chennai, Tamil Nadu, India",Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,Undisclosed,1140351.0,Seed,2018
146,Streo,"Gurgaon, Haryana, India",Music Streaming,"Live stream music from nightclubs, bars & festivals!",Undisclosed,1140351.0,Seed,2018
147,Cell Propulsion,"Bangalore, Karnataka, India",—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,Undisclosed,102339.0,Seed,2018
148,Chezuba,"Hyderabad, Andhra Pradesh, India","Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Undisclosed,20468.0,Angel,2018
149,Ontrack Technologies Pvt. Ltd,"Bangalore, Karnataka, India",Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Undisclosed,1140351.0,Seed,2018
150,Faclon Labs,"Mumbai, Maharashtra, India","Cloud Computing, Computer, Software",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,Undisclosed,1140351.0,Seed,2018
151,Awign Enterprises,"Bangalore, Karnataka, India","Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,Undisclosed,730994.0,Seed,2018
152,CollPoll,"Bangalore, Karnataka, India",Education,World-class Enterprise System for Education.,Undisclosed,1140351.0,Seed,2018
153,Zyla Health,"New Delhi, Delhi, India","Health Care, Hospitality",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,Undisclosed,1140351.0,Seed,2018
154,Workflexi,"Bangalore, Karnataka, India",Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",Undisclosed,146199.0,Seed,2018
